,title,year,kind,genre,rating,vote,country,language,cast,director,writer,runtime
248,A Love Divided,1999.0,movie,"['Biography', 'Drama', 'Romance']",6.9,350.0,"['United Kingdom', 'Ireland']",['English'],"['Orla Brady', 'Liam Cunningham', 'Sarah Bolger', 'Nicole Bohan', 'Brian McGrath', 'Ali White', 'Peter Caffrey', 'Tony Doyle', 'Jim Norton', 'Joe Gallagher', 'Doreen Keogh', ""Rynagh O'Grady"", 'Ger Ryan', 'Garrett Keogh', 'Peter Gowen', 'Helen Norton', 'Melissa Bolger', 'Grace Bolger', 'Emma Walsh', 'Alvin Reid', 'Eleanor Methven', 'John Kavanagh', 'Brendan Conroy', 'Ian McElhinney', 'Brian de Salvo', 'Alan Barry', 'David Wilmot', ""Martin O'Malley"", 'Eileen Pollock', 'Mark Mulholland', 'Peter Vollebregt', 'Gemma Hayes', ""Oliver O'Donohoe"", 'Sarah Manson', ""Gemma O'Byrne""]",['Syd Macartney'],"['Stuart Hepburn', 'Deirdre Dowling', 'Gerry Gregg']",50.0
249,Sharpe's Enemy,1994.0,episode,"['Action', 'Adventure', 'Drama', 'History', 'War']",7.9,2648.0,['United Kingdom'],['English'],"['Sean Bean', ""Daragh O'Malley"", 'Hugh Fraser', 'Michael Byrne', 'Pete Postlethwaite', 'Assumpta Serna', 'Jeremy Child', 'Elizabeth Hurley', 'Helena Michell', 'Tony Haygarth', 'Michael Mears', 'John Tams', 'Jason Salkey', 'Lyndon Davies', 'Philip Whitchurch', 'Féodor Atkine', 'François Guétary', 'Nicholas Rowe', 'Vincent Grass', 'Diana Perez', 'Morgan Jones', 'Iain Glass', 'Zed Korshoonoff', 'Edsel Kragg', 'James Saxon']",['Tom Clegg'],"['Eoghan Harris', 'Bernard Cornwell']",94.0
250,The Mating Habits of the Earthbound Human,1999.0,movie,"['Comedy', 'Sci-Fi']",6.4,6232.0,['United States'],['English'],"['David Hyde Pierce', 'Mackenzie Astin', 'Carmen Electra', 'Markus Redmond', 'Lucy Liu', 'Lisa Rotondi', 'Sharon Wyatt', 'Jack Kehler', 'Leo Rossi', 'Antonette Saftler', 'Marc Blucas', 'Anne Gee Byrd', 'Eric Kushnick', 'Linda Porter', 'Tyler Abugov', 'Lynn Ann Leveridge', 'Adam Abugov', 'William Morts', 'Noah M. Breedon', 'Andrew Aguilar', 'Jeff Abugov', 'Joyce Bradsher', 'John Dunn', 'Larry Estes', 'Victor Ho']",['Jeff Abugov'],['Jeff Abugov'],82.0
251,Cup Final,1991.0,movie,"['Drama', 'War']",6.8,198.0,['Israel'],"['English', 'Hebrew', 'Arabic']","['Moshe Ivgy', 'Mohammad Bakri', 'Salim Dau', ""Bassam Zo'amat"", 'Yussuf Abu-Warda', 'Suhel Haddad', 'Gassan Abbas', 'Sharon Alexander', 'Johnny Arbid', 'Sami Samir', 'Meir Suissa', 'Gadi Poor', 'Victor Kamar', 'Rada Ibrahim', 'Roberto Pollack', 'Shai Avivi', 'David Sabar', 'Ofer Zohar', 'Doron Linnik', 'Uri Klauzner', 'Doron Tsabari', 'Sharon Goresh', 'Faraz Hanina', 'Hani Hallage', 'Moshe Bacher']",['Eran Riklis'],['Eyal Halfon'],24.0
252,The Maldonado Miracle,2003.0,tv movie,"['Drama', 'Family']",6.6,459.0,['United States'],['English'],"['Peter Fonda', 'Mare Winningham', 'Rubén Blades', 'Eddy Martin', 'Bill Sage', 'Christina Cabot', 'Dan Merket', 'Soledad St. Hilaire', 'Scott Michael Campbell', 'Jesse Borrego', 'Jose Gonzales', 'Jeanette Longoria', 'Christian Jensen', 'Tod Huntington', 'Charlie Paddock', 'Daniel Edward Mora', 'Joey Lopez', 'Don Glover', 'Reb Fleming', 'Mary Bishop', 'Oscar Rowland', 'Micaela Nelligan', 'Christian Stevens', 'Alan Peterson', 'Paul Kiernan', 'Isidro Ruiz', 'David Jean Thomas', 'Jeff Olson', 'Ken Norris', 'Christina Thurmond', 'Ann Kathleen Jensen', 'Malcolm Sonsire', 'Megan Henderson', 'Mark Wright', 'Frank Gerrish', 'Ignacio Perez', 'Irma Leon', 'Lorena Leishman', 'Dennis Saylor', 'Greg Ilk', 'Angelica Macias Trillo', 'Sina Amedson']",['Salma Hayek'],"['Theodore Taylor', 'Paul W. Cooper']",101.0
253,Discovering Australia: The Golden West,1995.0,movie,['Documentary'],6.558794535980835,21370.53696662442,['Australia'],['English'],['Richard Morecroft'],['Kevin Anderson'],['Eddie Moses'],50.0
254,Dersu Uzala,1975.0,movie,"['Adventure', 'Biography', 'Drama']",8.3,25171.0,"['Soviet Union', 'Japan']","['Russian', 'Chinese']","['Yuriy Solomin', 'Maksim Munzuk', 'Mikhail Bychkov', 'Vladimir Khrulyov', 'V. Lastochkin', 'Stanislav Marin', 'Igor Sykhra', 'Vladimir Sergiyakov', 'Yanis Yakobsons', 'Vladimir Khlestov', 'G. Polunin', 'V. Koldin', 'M. Tetov', 'S. Sinyavskiy', 'Vladimir Sverba', 'V. Ignatov', 'Vladimir Kremena', 'Aleksandr Pyatkov', 'Svetlana Danilchenko', 'Dmitriy Korshikov', 'Suymenkul Chokmorov', 'Daniil Netrebin', 'Serafim Zaytsev', 'Nikolay Volkov', 'V. Kiryanov', 'Tsun Di-go', 'Zarema Mademilova', 'A. Erdniev', 'Vladimir Prikhodko', 'Sovetbek Dzhumadylov']",['Akira Kurosawa'],"['Akira Kurosawa', 'Yuriy Nagibin', 'Vladimir Arsenev']",90.0
255,Eat Drink Man Woman,1994.0,movie,"['Comedy', 'Drama', 'Romance']",7.8,19853.0,['Taiwan'],"['Mandarin', 'French']","['Sihung Lung', 'Yu-Wen Wang', 'Chien-Lien Wu', 'Kuei-Mei Yang', 'Sylvia Chang', 'Winston Chao', 'Chao-jung Chen', 'Chit-Man Chan', 'Yu Chen', 'Ah-Lei Gua', 'Chi-Der Hong', 'Gin-Ming Hsu', 'Huel-Yi Lin', 'Shih-Jay Lin', 'Chin-Cheng Lu', 'Cho-Gin Nei', 'Yu-Chien Tang', 'Chung Ting', 'Cheng-Fen Tso', 'Man-Sheng Tu', 'Chuen Wang', 'Jui Wang', 'Hwa Wu', 'Hua Wu', 'Po-hsiung Wu', 'Michael Taylor']",['Ang Lee'],"['Ang Lee', 'James Schamus', 'Hui-Ling Wang']",106.0
256,Diary of a Country Priest,1951.0,movie,['Drama'],7.9,10756.0,['France'],['French'],"['Claude Laydu', 'Jean Riveyre', 'Adrien Borel', 'Rachel Bérendt', 'Nicole Maurey', 'Nicole Ladmiral', 'Martine Lemaire', 'Antoine Balpêtré', 'Jean Danet', 'Gaston Séverin', 'Yvette Etiévant', 'Bernard Hubrenne', 'Léon Arvel', 'Martial Morange', 'Gilberte Terbois', 'Serge Bento', 'Germaine Stainval', 'François Valorbe']",['Robert Bresson'],"['Georges Bernanos', 'Robert Bresson']",99.98411297440424
257,Fascination,1979.0,movie,['Horror'],6.0,2738.0,['France'],['French'],"['Franca Maï', 'Brigitte Lahaie', 'Jean-Marie Lemaire', 'Fanny Magier', 'Muriel Montossé', 'Sophie Noël', 'Evelyne Thomas', 'Joe de Palmer', 'Cyril Val', 'Myriam Watteau', 'Agnès Bert', 'Jacques Sansoul', 'Jacques Marbeuf']",['Jean Rollin'],['Jean Rollin'],139.0
258,Too Young to Die?,1990.0,tv movie,"['Crime', 'Drama']",5.9,3828.0,['United States'],['English'],"['Michael Tucker', 'Juliette Lewis', 'Brad Pitt', 'Alan Fudge', 'Emily Longstreth', ""Laurie O'Brien"", 'Yvette Heyden', 'Tom Everett', ""Michael O'Keefe"", 'Dean Abston', 'J. Stephen Brady', 'Mark Davenport', 'Lew Hopson', 'Annabelle Weenick', 'Charles C. Stevenson Jr.', 'Charles David Richards', 'Hank Stone', 'Tim DeZarn', 'Jeremy Bailey', 'C.W. Hemingway', 'Taylor Fry', 'Bradley Pierce', 'Don Pugsley', 'James Schendel', 'Redmond Gleeson']",['Robert Markowitz'],"['David Hill', 'David Hill', 'George Rubino']",25.0
259,Gojoe: Spirit War Chronicle,2000.0,movie,"['Action', 'History']",6.3,862.0,['Japan'],['Japanese'],"['Tadanobu Asano', 'Masatoshi Nagase', 'Daisuke Ryû', 'Masakatsu Funaki', 'Jun Kunimura', 'Urara Awata', 'Wui-Sin Chong', 'Shunsuke Gondo', 'Takahito Hosoyamada', 'Hiroshi Inoue', 'Toshihiro Isomi', 'Ryô Kase', 'Ittoku Kishibe', 'Dave Mallow', 'Naruki Matsukawa', 'Mikari', 'Ken Mitsuishi', 'Yoshiyuki Morishita', 'Taketoshi Naitô', 'Kairi Narita', 'Ichi Omiya', 'Manzô Shinra', 'Nobuhiro Suwa', 'Yoji Tanaka', 'Saburo Teshigawara']",['Gakuryû Ishii'],"['Gakuryû Ishii', 'Goro Nakajima']",96.0
260,Taxi zum Klo,1980.0,movie,"['Comedy', 'Drama', 'Romance']",6.5,1586.0,['West Germany'],"['German', 'English', 'French']","['Frank Ripploh', 'Bernd Broaderup', 'Orpha Termin', 'Peter Fahrni', 'Dieter Gödde', 'Klaus Schnee', 'Bernd Kröger', 'Markus Voigtländer', 'Irmgard Lademacher', 'Gregor Becker', 'Marguerite Dupont', 'Eberhard Freudenthal', 'Beate Springer', 'Millie Büttner', 'Gitta Lederer', 'Hans Gerd Mertens', 'Ulla Topf', 'Franco Papadu', 'Tabea Blumenschein', 'Magdalena Montezuma', 'Jürgen Möller', 'Valeska Gerstenberg', 'Brigitte Knigge', 'Hans Kellner', 'Ric Schachtebeck', 'Thomas Born', 'Liberace', 'Jürgen Thormann']",['Frank Ripploh'],['Frank Ripploh'],240.0
261,Changes,1991.0,tv movie,"['Drama', 'Romance']",6.0,415.0,['United States'],['English'],"['Cheryl Ladd', 'Michael Nouri', 'Chris Gartin', 'Randee Heller', 'Cynthia Bain', 'Charles Frank', 'James Sloyan', 'Luis Avalos', 'Liz Sheridan', 'Sheila Johns', 'Christie Clark', ""Renée O'Connor"", 'Ami Foster', 'Joseph Gordon-Levitt', 'Betty Carvalho', 'Ben Slack', 'Melinda O. Fee', 'Flo Di Re', 'Judy Jean Berns', 'Shayna Bridges', 'Sarah Simmons', 'Milt Tarver', 'Christopher J. Keene', 'James Boyce', 'Jenna Cole', 'Brenda Hillhouse', 'Danielle Steel', 'Patty Toy']",['Charles Jarrott'],"['Danielle Steel', 'Susan Nanus']",96.0
262,Journeys with George,2002.0,movie,['Documentary'],6.8,670.0,['United States'],['English'],"['George W. Bush', 'R.G. Ratcliffe', 'Wayne Slater', 'Richard Wolffe', 'Alexandra Pelosi', 'Karl Rove', 'Karen Hughes', 'Trent Gegax', 'Nancy Harmeyer', 'Brooks Kraft', 'Erin Brockovich-Ellis', 'Tom Brokaw', 'Barbara Bush', 'George Bush', 'Jeb Bush', 'Laura Bush', 'Dick Cheney', 'Howard Dean', 'Al Gore', 'John McCain']","['Alexandra Pelosi', 'Aaron Lubarsky']",['Alexandra Pelosi'],30.0
263,A Dangerous Man: Lawrence After Arabia,1992.0,tv movie,"['Adventure', 'Biography', 'Drama', 'War']",6.9,544.0,['United Kingdom'],['English'],"['Ralph Fiennes', 'Alexander Siddig', 'Denis Quilley', 'Nicholas Jones', 'Roger Hammond', 'Peter Copley', 'Paul Freeman', 'Polly Walker', 'Gillian Barge', 'Jim Carter', 'Michael Cochrane', 'Robert Arden', 'Arnold Diamond', 'Bernard Lloyd', 'Keith Edwards', 'Ray Edwards', 'Ian Targett', 'Jack Ellis', 'Adam Henderson', 'George Innes', 'Kerry Shale', 'John Moreno', 'Clive Llewellyn', 'Antony Zaki', 'Nicholas Tennant', 'Mark Spalding', 'Patrick Pearson', 'Merelina Kendall', 'Ann Rich', 'Caroline Lena Olsson', 'Michael Fleming', 'Terry Coates', 'Charles Rogers', 'Alain Debray', 'Corey Johnson']",['Christopher Menaul'],['Tim Rose Price'],90.0
264,A Tale of Two Hamlets,2003.0,episode,"['Crime', 'Drama', 'Mystery']",7.4,638.0,['United Kingdom'],['English'],"['John Nettles', 'Daniel Casey', 'Jane Wymark', 'Barry Jackson', 'Ronald Pickup', 'Beth Goddard', 'Christopher Good', 'Phoebe Nicholls', 'Jonathan Hyde', 'Leo Bill', 'Jo Stone-Fewings', 'Tim Preece', 'Anne Reid', 'Alex Lowe', 'Charlie Beall', 'Rebecca Johnson', 'Danielle Tilley', 'Katy Murphy', 'Jack Chissick', 'Brett Reylander']",['Peter Smith'],"['Alan Plater', 'Caroline Graham']",112.0
265,Screw Loose,1999.0,movie,"['Comedy', 'Romance']",4.2,957.0,['Italy'],['English'],"['Ezio Greggio', 'Mel Brooks', 'Julie Condra', 'Gianfranco Barra', 'Randi Ingerman', 'John Karlsen', 'Enzo Iacchetti', 'Ric', 'Claudio Parachinetto', 'Dario Ballantini', 'Pietro Ghislandi', 'Zoe Incrocci', 'Robert Dawson', 'Sofia Milos', 'Charly Bertoni', 'Isaac George', 'Giancarlo Lolli', 'Silvia Annichiarico', 'Luciana Littizzetto', 'Mark Steinborn', ""Daniela D'Angelo"", ""Simona D'Angelo"", 'Massimo Artana', 'Gerry Bruno', 'Dino Cassio', 'Gianni Zullo', 'Alfio Liotta', 'Maurizio Tabani', 'Andrea Montuschi', 'Gero Caldarelli', 'Matteo Hessel', 'Niki Lauda', 'Daniel McVicar', 'Massimo Licinio', 'Elisa Manzini']",['Ezio Greggio'],"['Rudy De Luca', 'Steve Haberman']",121.0
266,Dave Chappelle: For What It's Worth,2004.0,movie,['Comedy'],8.6,8173.0,['United States'],['English'],"['Dave Chappelle', 'Greer Barnes']",['Stan Lathan'],['Dave Chappelle'],110.0
267,Aap Mujhe Achche Lagne Lage,2002.0,movie,"['Action', 'Drama', 'Romance']",3.1,2450.0,['India'],['Hindi'],"['Hrithik Roshan', 'Ameesha Patel', 'Kiran Kumar', 'Mukesh Tiwari', 'Nishigandha Wad', 'Shahbaaz Khan', 'Madhuri Sanjeev', 'Alok Nath', 'Jimmy Moses', 'Shaikh Sami', 'Ali Asgar', 'Hemant Pandey', 'Jasbir Thandi', 'Suchit Jadhav', 'Prithvi Zutshi', 'Neha Bam', 'Vrajesh Hirjee', 'Mushtaq Khan', 'Firdaus Mevawala']",['Vikram Bhatt'],"['Robin Bhatt', 'Girish Dhamija', 'Sanjeev Duggal']",84.0
268,Richard Rodgers: The Sweetest Sounds,2001.0,episode,"['Documentary', 'Biography']",8.0,98.0,['United States'],['English'],"['Julie Andrews', 'Diahann Carroll', 'Barbara Cook', 'Sheldon Harnick', 'Celeste Holm', 'Shirley Jones', 'John Lahr', 'Andrew Lloyd Webber', 'Maureen McGovern', 'Ethan Mordden', 'Trevor Nunn', 'Tony Roberts', 'Max Wilk']",['Roger Sherman'],['Laurence Maslon'],23.0
269,I Capture the Castle,2003.0,movie,"['Drama', 'Romance']",6.9,7375.0,['United Kingdom'],['English'],"['Romola Garai', 'Sophie Stuckey', 'Bill Nighy', 'Helena Little', 'Florence Jones', 'Harrison Ward', 'Rose Byrne', 'Tara Fitzgerald', 'Joe Sowerbutts', 'Henry Cavill', 'Henry Thomas', 'Marc Blucas', 'David Bamber', 'James Faulkner', 'Sarah Woodward', 'Ray De-Haan', 'Sorel Johnson', 'Dolly Wells', 'Sinéad Cusack', 'James Warrior', 'Christopher Ettridge', 'Jean Warren', 'Bernadette Windsor', 'Richard Shelton']",['Tim Fywell'],"['Dodie Smith', 'Heidi Thomas']",97.0
270,Young and Dangerous 2,1996.0,movie,"['Action', 'Crime']",6.7,1021.0,['Hong Kong'],"['Cantonese', 'English']","['Ekin Cheng', 'Jordan Chan', 'Chingmy Yau', 'Gigi Lai', 'Anthony Chau-Sang Wong', 'Halina Tam', 'Jerry Lamb', 'Michael Tse', 'Jason Chu', 'Spencer Lam', 'Moses Chan', 'Blackie Shou-Liang Ko', 'Shun Chee Yee', 'Simon Yam', 'Chung-You Chang', 'Kelly Lai Chen', 'Yan Hsiao', 'Wai-Kai Law', 'Do-Yu Lee', 'Lik-Chi Lee', 'Kwok-Fai Ma', 'Gin-Lok Si', 'Ching Siu-Lung']",['Andrew Lau'],"['Sharon Hui', 'Manfred Wong', 'Manfred Wong']",100.0
271,Main Hoon Na,2004.0,movie,"['Action', 'Comedy', 'Drama', 'Musical', 'Romance', 'Thriller']",7.0,33925.0,['India'],['Hindi'],"['Shah Rukh Khan', 'Sushmita Sen', 'Suniel Shetty', 'Zayed Khan', 'Amrita Rao', 'Kabir Bedi', 'Naseeruddin Shah', 'Boman Irani', 'Bindu', 'Satish Shah', 'Kirron Kher', 'Nassar Abdulla', 'Kunal Kumar', 'Rajiv Panjabi', 'Rakhi Sawant', 'Murli Sharma', 'Praveen Sirohi', 'Shaji Chaudhary', 'Sumeet Goradia', 'Geeta Kapoor', 'Sajid Khan', 'Charan Saluja', 'Tabu']",['Farah Khan'],"['Farah Khan', 'Abbas Tyrewala', 'Farah Khan']",87.0
272,Dottie Gets Spanked,1993.0,tv movie,"['Comedy', 'Drama']",7.2,890.0,['United States'],['English'],"['J. Evan Bonifant', 'Barbara Garrick', 'Julie Halston', 'Robert Pall', 'Harriet Sansom Harris', 'Irving Metzman', 'Ashley Chapman', 'Rhea Silver-Smith', 'Gina Gallagher', 'Adam Arkin', 'Richard DeDomenico', 'John Brian Rogers', 'Lenny Singer', 'Leo Ferstenberg', 'Lindsay Rodio', 'Mandy Henderson', 'Leilani Drakeford', 'Emmy Davis', 'Melissa Maxwell', 'Anne R. Droselle', 'Jean Orlando', 'Babs', 'Nicky Mellina', 'Cameron Boyd', 'Dimitri Stathos', 'Keith A. Glascoe', 'Oliver Wadsworth', 'Patrick McDade', 'Rolanda Nicholas', 'James Winstanley', 'Richard Gang', 'Joe Caruso', 'Stas Kmiec', 'Julianne', 'Gerald Simon', 'Mary Ann Hannon', 'Michael Stirling', 'Vela Ceres']",['Todd Haynes'],['Todd Haynes'],56.0
273,Yesterday Once More,2004.0,movie,"['Comedy', 'Crime', 'Romance']",6.2,902.0,['Hong Kong'],"['Cantonese', 'English', 'Italian']","['Andy Lau', 'Sammi Cheng', 'Jenny Hu', 'Carl Ng', 'Ka Tung Lam', 'Wong Chun', 'Shiu Hung Hui', 'Teddy Lin', 'Moon-Yuen Cheung', 'Chi-Shing Chiu', 'Ping Han', 'Loi-Kwan Kam', 'Shing-cheong Li', 'Yat-fung Tin', 'Ronald Yan', 'Courtney Wu']",['Johnnie To'],"['Ka-Fai Wai', 'Kin-Yee Au']",78.0
274,Unprecedented: The 2000 Presidential Election,2002.0,movie,['Documentary'],7.7,633.0,['United States'],['English'],"['Peter Coyote', 'James Baker III', 'Ed Baker', 'Corrine Brown', 'Vincent Bugliosi', 'George W. Bush', 'Jeb Bush', 'Warren Christopher', 'Alan Dershowitz', 'Cathy Dublin', 'Danny Glover', 'Katherine Harris', 'Mark Herron', 'Sean Holton', 'Thomas Johnson', 'Dan Keating', 'Frank Keating', 'John Lantigua', 'Charles Lichtman', 'Kweisi Mfume', 'John Nichols', 'Greg Palast', 'Frances Fox Piven', 'Jamie Raskin', 'Clayton Roberts', 'Chris Sautter', 'Antonin Scalia', 'Mark Seibel', 'Howard Simon', 'Jake Tapper', 'Clarence Thomas', 'Willie Whiting']","['Richard Ray Perez', 'Joan Sekler']","['William Haugse', 'Richard Ray Perez', 'Joan Sekler']",107.0
275,Our Lady of the Assassins,2000.0,movie,"['Crime', 'Drama']",6.8,3887.0,"['Spain', 'France', 'Colombia']",['Spanish'],"['Germán Jaramillo', 'Anderson Ballesteros', 'Juan David Restrepo', 'Manuel Busquets', 'Wilmar Agudelo', 'Juan Carlos Álvarez', 'Jairo Alzate', 'Zulma Arango', 'José Luis Bedoya', 'Cenobia Cano', 'Eduardo Carvajal', 'Olga Lucía Collazos', 'Jorge A. Correa', 'Phanor Delgado', 'Albeiro Lopera', 'Wilson Lopez', 'Alexander Molina', 'Aníbal Moncada', 'Jaime Osorio Gómez', 'Carlos Ordóñez', 'Teyler Pérez', 'Edwin Porras', 'Gustavo Restrepo', 'John Mario Restrepo', 'Juan Tejada', 'Carlos A. Danita', 'Nicolas Franco', 'Héctor Galan', 'Rubí Henao', 'John Jaramillo', 'Juan Fdo. León', 'Carlos Zapata', 'Serafín Zapata', 'Martha Libia Zuluaga', 'César Gaviria', 'Ernesto Samper', 'Barbet Schroeder']",['Barbet Schroeder'],"['Fernando Vallejo', 'Fernando Vallejo']",150.0
276,Yi Yi: A One and a Two...,2000.0,movie,"['Drama', 'Romance']",8.2,22512.0,"['Taiwan', 'Japan']","['Mandarin', 'Min Nan', 'Hokkien', 'English', 'Japanese', 'French']","['Nien-Jen Wu', 'Issei Ogata', 'Elaine Jin', 'Kelly Lee', 'Jonathan Chang', 'Hsi-Sheng Chen', 'Su-Yun Ko', 'Chuan-cheng Tao', 'Shu-shen Hsiao', ""Meng-chin 'Adriene' Lin"", 'Pang Chang Yu', 'Ru-Yun Tang', 'Shu-Yuan Hsu', 'Hsin-Yi Tseng', 'Yung-Feng Lee', 'Shi-hui Chin', 'Jie Wu', 'Kuo-Chih Shu', 'Leon Dai', 'Mei-Yun Yu', 'Chi-Tung Yu', 'Lawrence Ko', 'Liang-Tso Liu', 'Li-Hua Chen', 'Yi-wen Chen', 'Shau-Ching Sung', 'Pei-An Lo', 'Antonio Lee', 'Danny Deng', 'Ray Fan', 'Chien-Hsiung Cheng', 'Yuen-Cheng Cheng', 'Ju-Yin Tsai', 'Jerry Sun', 'Tzu-chieh Miao', 'Tsung Sheng Tang', 'Chi-tsan Wang', 'Jianchang Li', 'Kenjirô Tsuda', 'Wei-Ning Wu', 'Hui-Ling Chang', 'Kuei-Ying Hsu', 'Allen Lu', 'Shih-Ping Yang', 'Tzu-Yen Yeh', 'Cheryl Yang', 'Wan-Yun Lee', 'Hsiao-Wei Lin', 'Yiting Wu', 'Wen-Chuan Wu', 'Cheng-Kai Wang', 'Nien-Chu Hsieh', 'Shi-Chi Chen', 'Kuang-Ting Hsiang', 'Yen-Chun Lin', 'Hsin-yi Wen', 'An-yi Wen', 'Tzu-Ai Tsai', 'Yao-Wen Liu', 'Wei-Chun Wu', 'Szu-Chia Huang', 'Ming-Min Yeh', 'Yilian He', 'Katherine Lee', 'Tricia Chen', 'Christine Cheng', 'Fiona Chen', 'Cheng-Wan Pieh', 'Kate Yeung', 'Shih-hue Tu', 'Yu-Lung Yin', 'Lien-Lien Hsiao', 'Xianghua Ye', 'Sharon Mao', 'Liang-Hsin Hsieh', 'Mitsu Sudo', 'Kiyotaka Ueno', 'Norihiko Hashimoto', 'Christian Storms', 'Azusa Naito', 'Hui-Hui Chiang', 'Huiping Wu', 'Stephanie Michelle Lord', 'Morgan Reynolds', 'Tamara Robertson', 'Song-en Hu', 'Shou-yao Liu', 'Josephine A. Blankstein', 'Kai-Li Peng', 'Edward Yang']",['Edward Yang'],['Edward Yang'],47.0
277,A Moment of Romance,1990.0,movie,"['Action', 'Crime', 'Romance']",7.4,1116.0,['Hong Kong'],['Cantonese'],"['Andy Lau', 'Chien-Lien Wu', 'Man-Tat Ng', 'Kwong Leung Wong', 'Joseph Chi', 'Kingman Cho', 'Tiet Wo Chu', 'Yung Chung', 'Shui-Chiu Gan', 'Kwok Wing Ha', 'Chi-Ming Huang', 'Shirley Huang', 'Tung-Kim Hung', 'Lo Kam', 'Chung Lam', 'Sandra Lang', 'Kong Lau', 'Shan Liang', 'Chih Tai Lin', 'Wui Ng', 'Yuen-Yee Ng', 'Yiu Siu', 'Chiu-Yau Tang', 'Chung-Yung Tsai', 'Wai-Kit Tse', 'Fat Wan', 'Man-Wai Wong', 'Wai-Fai Wong', 'Yuk-Mui Yeung', 'Paco Yick', 'Man-Kei Yiu', 'Bun Yuen']",['Benny Chan'],['James Yuen'],701.0
278,How I Got Into College,1989.0,movie,"['Comedy', 'Romance']",5.8,2190.0,['United States'],['English'],"['Anthony Edwards', 'Corey Parker', 'Lara Flynn Boyle', 'Finn Carter', 'Charles Rocket', 'Christopher Rydell', 'Gary Owens', 'Brian Doyle-Murray', 'Tichina Arnold', 'Bill Raymond', 'Philip Baker Hall', 'Nicolas Coster', 'Micole Mercurio', 'Robert Ridgely', 'Richard Jenkins', 'Bill Henderson', 'Helen Lloyd Breed', 'Nora Dunn', 'Phil Hartman', 'Bob Eubanks', 'Susan Krebs', 'O-Lan Jones', 'Maya Lebenzon', 'Annie Oringer', 'Dee Booher', 'Diane Franklin', 'Bruce Wagner', 'Tom Kenny', 'Taylor Negron', 'Fran Bennett', 'Duane Davis', 'Adam Silbar', 'Marlene Warfield', 'Edward Mehler', 'Daniel William Carter', 'Marisa DeSimone', 'Gregg Binkley', 'Larry Spinak', 'Willie Smith', 'Phill Lewis', 'Stella Hall', 'Morris Wilkes Jr.', 'Leon Fan', 'Emily Munson', 'Sara Munson', 'Richard Steven Horvitz', 'Vernetta R. Jenkins', 'James McIntire', 'Jim Painter', 'Tara Vessels', 'Ashleigh Harris', 'Juliet Sorci', 'David McCoy', 'Hope Marie Carlton', 'Rebecca Ferratti', 'Lisa Fuller', 'Curtis Armstrong', 'Art Berger', 'Daniel Fitzpatrick', 'Lorenzo Gaspar', 'Kris Hagerty', 'Aaron Michael Lacey', 'Dan Schneider']",['Savage Steve Holland'],['Terrel Seltzer'],93.0
279,Dil Chahta Hai,2001.0,movie,"['Comedy', 'Drama', 'Romance']",8.1,69667.0,['India'],['Hindi'],"['Aamir Khan', 'Saif Ali Khan', 'Akshaye Khanna', 'Preity Zinta', 'Sonali Kulkarni', 'Dimple Kapadia', 'Ayub Khan', 'Rajat Kapoor', 'Suhasini Mulay', 'Ahmed Khan', 'Suchitra Pillai', 'Anjula Bedi', 'Rakesh Pandey', 'Samantha Tremayne', 'Claire', 'Clarence', 'Asad Dadarkar', 'Bomi Doctor', 'Beatrice Gibson', 'Kannu Gill', 'Yusuf Hussain', 'Rio Kapadia', 'Simran Makhija', 'Deepak Malhotra', 'Shail Mehta', 'Sarah Neilson', 'Shaina', 'Shilpa', 'Anand Subaya', 'Mandala Tayde', 'Meenakshi Verma', 'Gordon Waddell', 'Kerry Casey', 'Kiran Rao']",['Farhan Akhtar'],"['Kassim Jagmagia', 'Farhan Akhtar', 'Farhan Akhtar']",165.0
280,Rescue from Gilligan's Island,1978.0,tv movie,['Comedy'],5.3,1708.0,['United States'],['English'],"['Bob Denver', 'Alan Hale Jr.', 'Jim Backus', 'Natalie Schafer', 'Judith Baldwin', 'Russell Johnson', 'Dawn Wells', 'Vincent Schiavelli', 'Art LaFleur', 'Norman Bartold', 'Barbara Mallory', 'June Whitley Taylor', 'Martin Rudy', 'Mary Gregory', 'Glenn Robards', 'Diana Chesney', 'Victor Rogers', 'Michael Flanagan', 'Martin Ashe', 'Robert Wood', 'John Wheeler', 'Alex Rodine', 'Don Marshall', 'Mel Prestidge', 'Lewis Arquette', 'Judd Laurance', 'Michael Macready', 'Richard Rorke', 'Marcus K. Mukai', 'Snag Werris', 'Micki Waugh', 'Alisa Powell', 'Portia Stevens', 'Candace Bowen', 'Mario Machado', 'Stan Rodarte']",['Leslie H. Martinson'],"['Sherwood Schwartz', 'Sherwood Schwartz', 'Elroy Schwartz']",94.0
